batting_team,date,bowling_team,toss_winner,toss_decision,ball_left,wicket_left,first_inning_run,current_runs,run_left,crr,rrr,winner
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,119,10,208,0,208,0.0,10.487394957983193,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,118,10,208,1,207,3.0,10.525423728813559,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,117,10,208,2,206,4.0,10.564102564102564,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,116,10,208,6,202,9.0,10.448275862068966,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,115,10,208,7,201,8.4,10.486956521739131,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,114,10,208,8,200,8.0,10.526315789473685,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,113,10,208,9,199,7.714285714285714,10.56637168141593,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,112,9,208,9,199,6.75,10.660714285714286,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,113,9,208,13,195,11.142857142857142,10.353982300884956,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,112,9,208,13,195,9.75,10.446428571428571,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,111,9,208,13,195,8.666666666666666,10.54054054054054,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,110,9,208,13,195,7.8,10.636363636363637,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,109,9,208,13,195,7.090909090909091,10.73394495412844,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,108,9,208,13,195,6.5,10.833333333333334,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,107,9,208,14,194,6.461538461538462,10.878504672897197,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,106,9,208,15,193,6.428571428571429,10.924528301886792,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,105,9,208,19,189,7.6,10.8,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,104,9,208,23,185,8.625,10.673076923076923,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,103,9,208,25,183,8.823529411764707,10.660194174757281,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,102,9,208,25,183,8.333333333333334,10.764705882352942,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,101,9,208,26,182,8.210526315789474,10.811881188118813,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,100,9,208,26,182,7.8,10.92,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,99,9,208,30,178,8.571428571428571,10.787878787878787,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,98,8,208,30,178,8.181818181818182,10.89795918367347,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,97,8,208,30,178,7.826086956521739,11.010309278350515,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,96,8,208,31,177,7.75,11.0625,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,95,8,208,35,173,8.4,10.926315789473684,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,94,8,208,35,173,8.076923076923077,11.042553191489361,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,93,8,208,39,169,8.666666666666666,10.903225806451612,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,92,8,208,45,163,9.642857142857142,10.630434782608695,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,91,8,208,49,159,10.137931034482758,10.483516483516484,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,90,8,208,50,158,10.0,10.533333333333333,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,89,8,208,50,158,9.67741935483871,10.651685393258427,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,88,8,208,50,158,9.375,10.772727272727273,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,87,8,208,50,158,9.090909090909092,10.89655172413793,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,86,8,208,51,157,9.0,10.953488372093023,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,85,8,208,51,157,8.742857142857142,11.08235294117647,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,84,8,208,52,156,8.666666666666666,11.142857142857142,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,83,8,208,53,155,8.594594594594595,11.204819277108435,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,82,8,208,53,155,8.368421052631579,11.341463414634147,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,81,8,208,54,154,8.307692307692308,11.407407407407407,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,80,8,208,55,153,8.25,11.475,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,79,8,208,55,153,8.048780487804878,11.620253164556962,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,78,8,208,57,151,8.142857142857142,11.615384615384615,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,77,8,208,58,150,8.093023255813954,11.688311688311689,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,76,8,208,60,148,8.181818181818182,11.68421052631579,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,75,8,208,61,147,8.133333333333333,11.76,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,74,8,208,62,146,8.08695652173913,11.837837837837839,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,73,8,208,63,145,8.042553191489361,11.917808219178083,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,72,8,208,67,141,8.375,11.75,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,71,8,208,68,140,8.326530612244898,11.830985915492958,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,71,8,208,69,139,8.448979591836734,11.746478873239436,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,70,8,208,70,138,8.4,11.82857142857143,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,69,8,208,70,138,8.235294117647058,12.0,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,68,8,208,74,134,8.538461538461538,11.823529411764707,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,67,8,208,74,134,8.377358490566039,12.0,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,66,8,208,75,133,8.333333333333334,12.090909090909092,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,65,8,208,79,129,8.618181818181819,11.907692307692308,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,64,8,208,80,128,8.571428571428571,12.0,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,63,8,208,81,127,8.526315789473685,12.095238095238095,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,62,7,208,81,127,8.379310344827585,12.290322580645162,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,61,7,208,82,126,8.338983050847459,12.39344262295082,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,60,7,208,83,125,8.3,12.5,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,59,7,208,84,124,8.262295081967213,12.610169491525424,0
Mumbai Indians,2008-04-23,Chennai Super Kings,Mumbai Indians,field,58,7,208,85,123,8.225806451612904,12.724137931034482,0
